//X	Y	Z	Deviation[]	Amplitude[dB]	Reflectance[dB]
-5.784249783	19.084499359	-1.305750012	3.0000000000	23.5100002289	-8.2700004578
-5.778500080	19.081499100	-1.309000015	5.0000000000	23.0900001526	-8.6899995804
-5.783249855	19.085500717	-1.309249997	3.0000000000	23.5499992371	-8.2299995422
-5.778749943	19.081249237	-1.307000041	4.0000000000	23.2700004578	-8.5100002289
-5.778250217	19.080999374	-1.305500031	4.0000000000	23.4200000763	-8.3599996567
-5.783999920	19.086000443	-1.307500005	0.0000000000	23.3899993896	-8.3900003433
-5.780499935	19.078750610	-1.300750017	6.0000000000	22.8600006104	-7.6799998283
-5.777999878	19.077249527	-1.304000020	1.0000000000	23.4099998474	-7.1300001144
-5.782000065	19.079250336	-1.297250032	4.0000000000	22.3899993896	-8.1400003433
-5.788499832	19.087249756	-1.302000046	1.0000000000	23.8099994659	-7.9699997902
-5.785250187	19.085750580	-1.302999973	3.0000000000	23.2900009155	-8.4899997711
-5.784749985	19.086750031	-1.303249955	2.0000000000	23.5799999237	-8.1999998093
-5.784500122	19.085250854	-1.298249960	1.0000000000	23.4699993134	-8.3100004196
-5.788000107	19.086500168	-1.299999952	1.0000000000	23.7600002289	-8.0200004578
-5.784249783	19.086250305	-1.299999952	3.0000000000	23.1000003815	-8.6800003052
-5.788000107	19.086999893	-1.297749996	0.0000000000	23.3799991608	-8.3999996185
-5.781250000	19.083499908	-1.302999973	3.0000000000	23.3700008392	-8.4099998474
-5.783249855	19.083000183	-1.301749945	3.0000000000	23.1100006104	-8.6700000763
-5.783500195	19.083000183	-1.299000025	2.0000000000	22.8299999237	-8.9499998093
-5.781750202	19.080749512	-1.297000051	1.0000000000	22.5499992371	-9.2299995422
-5.781499863	19.083250046	-1.297749996	3.0000000000	23.3199996948	-8.4600000381
-5.774750233	19.076000214	-1.310750008	2.0000000000	22.5499992371	-7.9899997711
-5.776000023	19.076250076	-1.307250023	1.0000000000	22.9899997711	-7.5500001907
-5.789750099	19.089250565	-1.310999990	2.0000000000	23.6299991608	-8.1499996185
-5.791250229	19.091249466	-1.310500026	4.0000000000	23.2399997711	-8.5399999619
-5.789500237	19.089000702	-1.309000015	2.0000000000	23.8700008392	-7.9099998474
-5.790750027	19.091499329	-1.308750033	2.0000000000	23.1399993896	-8.6400003433
-5.787499905	19.089000702	-1.311750054	1.0000000000	23.4699993134	-8.3100004196
-5.791999817	19.090749741	-1.306499958	3.0000000000	23.4300003052	-8.3500003815
-5.788750172	19.088249207	-1.304499984	1.0000000000	23.7900009155	-7.9899997711
-5.789500237	19.090999603	-1.305750012	4.0000000000	23.4400005341	-8.3400001526
-5.786250114	19.088249207	-1.304499984	3.0000000000	23.9799995422	-7.8000001907
-5.790249825	19.092500687	-1.307000041	3.0000000000	23.2000007629	-8.5799999237
-5.790249825	19.090000153	-1.303500056	3.0000000000	23.3799991608	-8.3999996185
-5.789750099	19.090000153	-1.302000046	2.0000000000	23.4500007629	-8.3299999237
-5.787000179	19.088750839	-1.301249981	4.0000000000	23.5400009155	-8.2399997711
-5.788750172	19.088249207	-1.298750043	5.0000000000	23.3799991608	-8.3999996185
-5.789000034	19.088499069	-1.297000051	3.0000000000	23.4899997711	-8.2899999619
-5.782000065	19.079500198	-1.293499947	3.0000000000	22.3600006104	-8.1800003052
-5.781000137	19.079750061	-1.290750027	5.0000000000	22.5100002289	-9.2700004578
-5.789500237	19.087749481	-1.295500040	3.0000000000	23.9200000763	-7.8600001335
-5.788249969	19.087249756	-1.295250058	3.0000000000	23.1200008392	-8.6599998474
-5.790999889	19.087499619	-1.293750048	1.0000000000	23.8500003815	-7.9299998283
-5.785749912	19.086500168	-1.294499993	3.0000000000	23.4899997711	-8.2899999619
-5.786499977	19.084999084	-1.293499947	1.0000000000	23.2399997711	-8.5399999619
-5.787000179	19.087249756	-1.292250037	5.0000000000	23.7999992371	-7.9800000191
-5.784999847	19.082500458	-1.289000034	4.0000000000	22.9799995422	-8.8000001907
-5.790750027	19.087499619	-1.289000034	2.0000000000	23.9599990845	-7.8200001717
-5.789500237	19.087499619	-1.288249969	2.0000000000	23.4699993134	-8.3100004196
-5.786499977	19.084499359	-1.291000009	1.0000000000	23.4599990845	-8.3199996948
-5.786749840	19.086250305	-1.291000009	3.0000000000	23.7199993134	-8.0600004196
-5.784749985	19.084249496	-1.289749980	1.0000000000	23.0400009155	-8.7399997711
-5.782249928	19.081750870	-1.294499993	1.0000000000	22.8199996948	-8.9600000381
-5.782249928	19.081750870	-1.292250037	3.0000000000	22.8199996948	-8.9600000381
-5.782000065	19.083999634	-1.293750048	6.0000000000	23.2099990845	-8.5699996948
-5.782499790	19.082500458	-1.288499951	4.0000000000	22.6499996185	-9.1300001144
-5.783500195	19.085500717	-1.292000055	4.0000000000	23.2099990845	-8.5699996948
-5.781000137	19.079750061	-1.285500050	2.0000000000	23.5499992371	-8.2299995422
-5.780250072	19.078500748	-1.283750057	1.0000000000	23.4599990845	-8.3199996948
-5.779500008	19.077749252	-1.281499982	2.0000000000	22.9200000763	-8.8599996567
-5.787499905	19.086250305	-1.286249995	2.0000000000	23.1399993896	-8.6400003433
-5.785749912	19.083499908	-1.281749964	3.0000000000	23.3099994659	-8.4700002670
-5.789500237	19.085500717	-1.282500029	1.0000000000	23.7700004578	-8.0100002289
-5.786250114	19.084249496	-1.284000039	1.0000000000	23.5100002289	-8.2700004578
-5.784249783	19.084999084	-1.282500029	3.0000000000	22.8799991608	-8.8999996185
-5.785999775	19.086000443	-1.283750057	3.0000000000	22.8500003815	-8.9300003052
-5.784249783	19.084749222	-1.281250000	5.0000000000	22.7099990845	-9.0699996948
-5.781499863	19.080499649	-1.287500024	3.0000000000	23.0499992371	-8.7299995422
-5.783750057	19.085250854	-1.286499977	3.0000000000	22.5400009155	-9.2399997711
-5.775000095	19.072250366	-1.293249965	0.0000000000	22.0200004578	-8.5200004578
-5.776000023	19.072750092	-1.282250047	3.0000000000	21.5400009155	-9.0000000000
-5.791749954	19.088750839	-1.295750022	3.0000000000	23.8099994659	-7.9699997902
-5.789999962	19.088750839	-1.293249965	2.0000000000	24.0300006866	-7.7500000000
-5.787250042	19.087999344	-1.296000004	3.0000000000	23.6399993896	-8.1400003433
-5.791749954	19.088750839	-1.291249990	1.0000000000	24.0599994659	-7.7199997902
-5.790249825	19.088499069	-1.291249990	2.0000000000	23.8099994659	-7.9699997902
-5.791250229	19.089250565	-1.289749980	3.0000000000	23.3899993896	-8.3900003433
-5.791500092	19.088249207	-1.286499977	2.0000000000	23.5699996948	-8.2100000381
-5.789249897	19.088499069	-1.286499977	4.0000000000	23.0900001526	-8.6899995804
-5.790500164	19.090499878	-1.284500003	4.0000000000	22.9799995422	-8.8000001907
-5.790999889	19.087999344	-1.284000039	3.0000000000	23.6200008392	-8.1599998474
-5.790500164	19.089250565	-1.282500029	4.0000000000	23.2999992371	-8.4799995422
-5.790249825	19.090499878	-1.280750036	4.0000000000	23.1599998474	-8.6199998856
-5.823249817	19.105749130	-1.310999990	2.0000000000	23.8700008392	-7.9099998474
-5.823249817	19.106750488	-1.311499953	1.0000000000	24.6100006104	-7.1700000763
-5.821000099	19.107500076	-1.312000036	1.0000000000	24.9300003052	-6.8499999046
-5.821499825	19.106250763	-1.310250044	1.0000000000	24.2399997711	-7.5399999619
-5.823500156	19.106500626	-1.308249950	2.0000000000	23.9300003052	-7.8499999046
-5.821000099	19.106500626	-1.308500051	1.0000000000	24.2199993134	-7.5599999428
-5.818999767	19.107250214	-1.310750008	4.0000000000	24.6499996185	-7.1300001144
-5.819250107	19.105249405	-1.309749961	2.0000000000	23.4400005341	-8.3400001526
-5.818250179	19.106750488	-1.309249997	5.0000000000	23.7999992371	-7.9800000191
-5.822500229	19.105249405	-1.306249976	3.0000000000	23.5599994659	-8.2200002670
-5.820250034	19.106250763	-1.307000041	3.0000000000	23.4599990845	-8.3199996948
-5.817249775	19.106250763	-1.307999969	3.0000000000	23.2000007629	-8.5799999237
-5.818500042	19.105749130	-1.305500031	0.0000000000	23.0799999237	-8.6999998093
-5.816500187	19.104000092	-1.304250002	1.0000000000	23.2500000000	-8.5299997330
-5.823750019	19.107999802	-1.305999994	3.0000000000	23.7800006866	-8.0000000000
-5.822750092	19.107999802	-1.304250002	3.0000000000	23.2700004578	-8.5100002289
-5.814750195	19.104499817	-1.312000036	1.0000000000	23.3199996948	-8.4600000381
-5.815999985	19.107250214	-1.309749961	3.0000000000	22.8999996185	-8.8800001144
-5.822999954	19.105749130	-1.304000020	0.0000000000	23.0200004578	-8.7600002289
-5.823750019	19.107000351	-1.302250028	2.0000000000	23.0100002289	-8.7700004578
-5.820750237	19.106250763	-1.302999973	1.0000000000	23.0900001526	-8.6899995804
-5.821750164	19.104249954	-1.302000046	2.0000000000	23.0200004578	-8.7600002289
-5.822999954	19.106500626	-1.300999999	1.0000000000	22.8700008392	-8.9099998474
-5.820000172	19.104999542	-1.302000046	1.0000000000	23.3799991608	-8.3999996185
-5.823999882	19.104249954	-1.299999952	3.0000000000	23.2500000000	-8.5299997330
-5.821249962	19.105249405	-1.299499989	3.0000000000	22.9699993134	-8.8100004196
-5.822999954	19.105249405	-1.297250032	2.0000000000	22.7800006866	-9.0000000000
-5.813749790	19.104749680	-1.303750038	2.0000000000	23.7600002289	-8.0200004578
-5.823500156	19.104999542	-1.295500040	2.0000000000	22.9899997711	-8.7899999619
-5.823999882	19.104499817	-1.293499947	1.0000000000	23.3899993896	-8.3900003433
-5.823500156	19.104249954	-1.292000055	1.0000000000	23.7299995422	-8.0500001907
-5.820750237	19.104249954	-1.289499998	2.0000000000	23.9799995422	-7.8000001907
-5.823999882	19.104249954	-1.286749959	2.0000000000	23.4400005341	-8.3400001526
-5.822750092	19.104999542	-1.281749964	0.0000000000	24.0499992371	-7.7300000191
-5.760250092	19.010250092	-1.251999974	0.0000000000	24.7399997711	-5.8200001717
-5.761250019	19.010499954	-1.248499990	1.0000000000	24.6299991608	-5.9299998283
-5.760499954	19.030000687	-1.250249982	3.0000000000	23.7000007629	-6.8600001335
-5.761499882	19.050500870	-1.276749969	3.0000000000	22.8400001526	-7.7100000381
-5.762000084	19.054250717	-1.276999950	3.0000000000	22.3899993896	-8.1599998474
-5.762249947	19.054500580	-1.273749948	2.0000000000	21.8500003815	-8.6999998093
-5.762499809	19.051250458	-1.269500017	4.0000000000	22.3099994659	-8.2399997711
-5.765250206	19.055749893	-1.270499945	3.0000000000	22.4300003052	-8.1199998856
-5.761499882	19.050750732	-1.265750051	2.0000000000	22.5699996948	-7.9800000191
-5.763999939	19.055000305	-1.266250014	2.0000000000	22.6700000763	-7.8800001144
-5.768499851	19.061000824	-1.277250051	2.0000000000	22.5400009155	-8.0100002289
-5.768000126	19.060749054	-1.273499966	1.0000000000	22.2600002289	-8.2899999619
-5.768750191	19.065750122	-1.276749969	2.0000000000	22.1700000763	-8.3699998856
-5.769999981	19.066499710	-1.273249984	6.0000000000	22.2500000000	-8.2899999619
-5.767000198	19.060249329	-1.270249963	1.0000000000	22.7900009155	-7.7600002289
-5.767250061	19.060249329	-1.266499996	1.0000000000	22.9400005341	-7.6100001335
-5.771999836	19.067499161	-1.269500017	1.0000000000	22.2000007629	-8.3400001526
-5.773250103	19.068000793	-1.266499996	3.0000000000	22.3500003815	-8.1899995804
-5.763249874	19.051250458	-1.262500048	0.0000000000	22.5799999237	-7.9699997902
-5.764750004	19.052000046	-1.258999944	1.0000000000	22.6100006104	-7.9400000572
-5.764999866	19.055749893	-1.259500027	1.0000000000	22.8299999237	-7.7199997902
-5.761250019	19.045749664	-1.252249956	2.0000000000	23.1200008392	-7.4299998283
-5.760250092	19.045499802	-1.248749971	1.0000000000	23.1700000763	-7.3800001144
-5.765500069	19.052249908	-1.255499959	3.0000000000	22.2000007629	-8.3500003815
-5.764999866	19.052249908	-1.251500010	3.0000000000	22.0699996948	-8.4799995422
-5.764750004	19.052000046	-1.248250008	2.0000000000	22.3500003815	-8.1999998093
-5.769999981	19.061750412	-1.263249993	2.0000000000	23.0200004578	-7.5300002098
-5.765500069	19.055999756	-1.263000011	1.0000000000	22.7000007629	-7.8499999046
-5.766749859	19.056499481	-1.256250024	4.0000000000	22.5300006866	-8.0200004578
-5.767250061	19.060249329	-1.258749962	1.0000000000	22.3999996185	-8.1499996185
-5.773250103	19.068000793	-1.263249993	1.0000000000	22.1399993896	-8.3999996185
-5.773749828	19.068250656	-1.259250045	1.0000000000	22.1200008392	-8.4200000763
-5.769000053	19.057750702	-1.252750039	2.0000000000	22.6700000763	-7.8800001144
-5.769499779	19.061250687	-1.252500057	0.0000000000	22.8400001526	-7.7100000381
-5.768499851	19.057249069	-1.248749971	3.0000000000	23.0499992371	-7.5000000000
-5.769750118	19.061750412	-1.248749971	0.0000000000	23.1399993896	-7.4099998474
-5.767499924	19.060499191	-1.255249977	1.0000000000	22.6399993896	-7.9099998474
-5.773499966	19.068000793	-1.255499959	1.0000000000	22.4799995422	-8.0600004196
-5.776000023	19.069250107	-1.251999974	1.0000000000	22.7999992371	-7.7399997711
-5.773749828	19.068250656	-1.248499990	1.0000000000	22.6499996185	-7.8899998665
-5.761250019	19.010749817	-1.245000005	1.0000000000	24.2500000000	-6.3099999428
-5.760499954	19.008249283	-1.242249966	3.0000000000	19.5100002289	-7.2399997711
-5.760499954	19.010499954	-1.240749955	4.0000000000	24.1000003815	-6.4600000381
-5.761000156	19.009000778	-1.235999942	1.0000000000	18.9500007629	-7.8000001907
-5.760250092	19.010250092	-1.233999968	1.0000000000	24.2600002289	-6.3000001907
-5.761250019	19.015249252	-1.235999942	4.0000000000	23.9200000763	-6.6399998665
-5.760250092	19.014749527	-1.232249975	1.0000000000	24.4200000763	-6.1399998665
-5.761000156	19.018249512	-1.233999968	2.0000000000	23.4200000763	-7.1399998665
-5.761499882	19.030250549	-1.246500015	2.0000000000	24.6399993896	-5.9200000763
-5.761000156	19.030000687	-1.242499948	3.0000000000	24.0200004578	-6.5399999619
-5.760499954	19.010250092	-1.226750016	2.0000000000	24.3099994659	-6.2500000000
-5.761250019	19.015249252	-1.225749969	1.0000000000	24.4699993134	-6.0900001526
-5.760250092	19.017999649	-1.226250052	3.0000000000	23.7099990845	-6.8499999046
-5.762000084	19.015499115	-1.221750021	2.0000000000	24.7600002289	-5.8000001907
-5.761499882	19.010749817	-1.219249964	2.0000000000	23.7999992371	-6.7600002289
-5.762249947	19.015750885	-1.218250036	4.0000000000	23.5499992371	-7.0100002289
-5.762750149	19.018999100	-1.223000050	2.0000000000	24.1000003815	-6.4600000381
-5.760749817	19.021999359	-1.223999977	2.0000000000	23.5300006866	-7.0300002098
-5.761499882	19.022499084	-1.217499971	3.0000000000	24.1200008392	-6.4400000572
-5.761499882	19.030500412	-1.224750042	2.0000000000	23.9099998474	-6.6500000954
-5.761499882	19.034000397	-1.228500009	3.0000000000	24.0699996948	-6.4899997711
-5.761499882	19.038749695	-1.227499962	1.0000000000	23.2700004578	-7.2899999619
-5.761250019	19.026750565	-1.223250031	1.0000000000	23.7800006866	-6.7800002098
-5.760499954	19.030000687	-1.221250057	0.0000000000	24.6399993896	-5.9200000763
-5.760499954	19.033500671	-1.221250057	2.0000000000	22.9599990845	-7.5999999046
-5.761000156	19.038499832	-1.223000050	4.0000000000	22.9400005341	-7.6199998856
-5.760749817	19.033750534	-1.218000054	1.0000000000	23.0699996948	-7.4899997711
-5.762249947	19.039249420	-1.219499946	1.0000000000	22.7399997711	-7.8200001717
-5.763999939	19.039749146	-1.216249943	1.0000000000	22.5000000000	-8.0600004196
-5.761000156	19.045999527	-1.245000005	4.0000000000	24.0499992371	-6.5000000000
-5.761499882	19.042249680	-1.242249966	4.0000000000	22.8999996185	-7.6500000954
-5.763750076	19.047000885	-1.241999984	5.0000000000	23.1599998474	-7.3899998665
-5.764750004	19.052249908	-1.244500041	3.0000000000	22.4099998474	-8.1400003433
-5.765999794	19.052499771	-1.241000056	1.0000000000	23.6800003052	-6.8699998856
-5.761499882	19.042249680	-1.238749981	2.0000000000	22.3500003815	-8.1999998093
-5.761250019	19.045749664	-1.237750053	1.0000000000	23.0799999237	-7.4699997902
-5.760749817	19.041999817	-1.235000014	1.0000000000	22.8400001526	-7.7199997902
-5.764500141	19.047250748	-1.234500051	0.0000000000	23.3099994659	-7.2399997711
-5.765500069	19.052499771	-1.237499952	1.0000000000	23.2700004578	-7.2800002098
-5.765500069	19.052499771	-1.233999968	1.0000000000	22.5400009155	-8.0100002289
-5.777750015	19.070249557	-1.245499969	1.0000000000	22.7800006866	-7.7600002289
-5.781000137	19.071750641	-1.241750002	1.0000000000	22.5599994659	-7.9800000191
-5.778999805	19.070749283	-1.238000035	2.0000000000	22.3799991608	-8.1599998474
-5.776500225	19.069999695	-1.237750053	6.0000000000	22.6800003052	-9.1000003815
-5.770999908	19.062000275	-1.245249987	2.0000000000	23.6200008392	-6.9299998283
-5.770999908	19.062250137	-1.241250038	1.0000000000	23.1000003815	-7.4499998093
-5.766749859	19.056499481	-1.245249987	3.0000000000	22.2900009155	-8.2600002289
-5.767749786	19.056999207	-1.241750002	2.0000000000	22.7399997711	-7.8099999428
-5.775750160	19.069499969	-1.242750049	3.0000000000	23.3199996948	-8.4600000381
-5.774000168	19.069499969	-1.240249991	6.0000000000	21.9799995422	-9.8000001907
-5.773749828	19.063249588	-1.238250017	3.0000000000	23.0699996948	-7.4800000191
-5.772500038	19.062749863	-1.234750032	2.0000000000	23.2999992371	-7.2500000000
-5.766499996	19.056249619	-1.238250017	1.0000000000	23.1800003052	-7.3699998856
-5.766499996	19.056249619	-1.233999968	0.0000000000	22.6900005341	-7.8600001335
-5.771749973	19.066499710	-1.233749986	4.0000000000	20.2700004578	-11.5100002289
-5.761750221	19.042249680	-1.230999947	0.0000000000	23.8999996185	-6.6500000954
-5.763750076	19.047000885	-1.230999947	2.0000000000	23.2999992371	-7.2500000000
-5.763500214	19.043249130	-1.227749944	1.0000000000	23.7199993134	-6.8299999237
-5.763999939	19.043500900	-1.224750042	2.0000000000	24.5000000000	-6.0500001907
-5.763999939	19.047250748	-1.227249980	1.0000000000	23.8700008392	-6.6799998283
-5.768249989	19.053749084	-1.226750016	1.0000000000	22.7399997711	-7.8099999428
-5.766749859	19.052999496	-1.230749965	2.0000000000	22.7399997711	-7.8099999428
-5.765500069	19.047750473	-1.223999977	1.0000000000	23.8500003815	-6.6999998093
-5.764999866	19.044000626	-1.220999956	3.0000000000	23.9400005341	-6.6100001335
-5.766749859	19.044750214	-1.217499971	2.0000000000	22.6800003052	-7.8699998856
-5.763000011	19.046499252	-1.220000029	4.0000000000	23.9899997711	-6.5599999428
-5.769499779	19.054250717	-1.219750047	1.0000000000	23.4300003052	-7.1199998856
-5.770500183	19.054750443	-1.216500044	1.0000000000	23.1100006104	-7.4400000572
-5.768000126	19.053499222	-1.222749949	1.0000000000	22.6599998474	-7.8899998665
-5.767499924	19.048749924	-1.217000008	1.0000000000	23.0400009155	-7.5100002289
-5.776999950	19.067499161	-1.229500055	4.0000000000	22.9099998474	-8.8699998856
-5.779500008	19.070999146	-1.231500030	3.0000000000	22.9500007629	-8.8299999237
-5.776249886	19.070749283	-1.228749990	3.0000000000	21.4300003052	-10.3500003815
-5.781499863	19.071750641	-1.227749944	4.0000000000	22.0400009155	-8.5000000000
-5.778500080	19.069999695	-1.219750047	6.0000000000	22.6499996185	-9.1300001144
-5.774499893	19.063499451	-1.230999947	4.0000000000	22.8500003815	-7.6999998093
-5.769999981	19.058250427	-1.227749944	1.0000000000	22.8999996185	-7.6500000954
-5.770249844	19.061750412	-1.226750016	1.0000000000	22.3099994659	-8.2399997711
-5.767499924	19.056749344	-1.230499983	2.0000000000	22.9500007629	-7.5999999046
-5.772999763	19.065750122	-1.226999998	2.0000000000	20.5400009155	-11.2399997711
-5.769249916	19.057500839	-1.223999977	2.0000000000	22.7000007629	-7.8499999046
-5.770999908	19.058500290	-1.220499992	2.0000000000	23.1800003052	-7.3699998856
-5.774250031	19.063499451	-1.220250010	2.0000000000	22.7099990845	-7.8400001526
-5.771749973	19.062250137	-1.223250031	2.0000000000	22.7600002289	-7.7899999619
-5.772250175	19.059249878	-1.216750026	1.0000000000	23.1599998474	-7.3899998665
-5.775000095	19.063749313	-1.216750026	1.0000000000	22.9400005341	-7.6100001335
-5.757999897	19.009250641	-1.276749969	0.0000000000	23.6000003815	-6.9600000381
-5.754250050	19.012250900	-1.278749943	1.0000000000	23.5799999237	-6.9800000191
-5.754749775	19.015499115	-1.279999971	1.0000000000	23.6200008392	-6.9400000572
-5.755750179	19.008249283	-1.272750020	0.0000000000	24.0000000000	-6.5599999428
-5.754749775	19.012250900	-1.275249958	1.0000000000	23.3899993896	-7.1700000763
-5.753749847	19.015249252	-1.275750041	1.0000000000	23.5000000000	-7.0599999428
-5.756000042	19.020000458	-1.277999997	3.0000000000	24.5200004578	-6.0399999619
-5.757999897	19.017000198	-1.273000002	1.0000000000	24.4899997711	-6.0700001717
-5.756750107	19.020000458	-1.274749994	2.0000000000	24.9300003052	-5.6300001144
-5.754499912	19.021499634	-1.273249984	1.0000000000	19.1100006104	-7.6399998665
-5.758500099	19.009250641	-1.269749999	2.0000000000	25.0599994659	-5.5000000000
-5.755499840	19.012750626	-1.271749973	2.0000000000	23.9899997711	-6.5700001717
-5.754749775	19.015750885	-1.269250035	1.0000000000	24.5699996948	-5.9899997711
-5.759250164	19.009750366	-1.266250014	1.0000000000	24.7199993134	-5.8400001526
-5.757500172	19.013750076	-1.268000007	2.0000000000	24.2000007629	-6.3600001335
-5.758999825	19.014249802	-1.264500022	1.0000000000	25.1900005341	-5.3699998856
-5.756750107	19.020250320	-1.270750046	4.0000000000	24.9599990845	-5.5999999046
-5.754499912	19.023750305	-1.269000053	2.0000000000	23.4400005341	-7.1199998856
-5.756000042	19.016250610	-1.265750051	1.0000000000	24.7999992371	-5.7600002289
-5.758250237	19.020750046	-1.267750025	1.0000000000	24.6599998474	-5.9000000954
-5.755499840	19.023750305	-1.266499996	1.0000000000	19.0400009155	-7.7100000381
-5.757750034	19.024999619	-1.277250051	1.0000000000	23.3600006104	-7.1999998093
-5.754749775	19.027250290	-1.277750015	0.0000000000	22.5900001526	-7.9699997902
-5.754250050	19.030750275	-1.278749943	2.0000000000	23.2500000000	-7.3099999428
-5.756499767	19.024749756	-1.273249984	3.0000000000	23.2000007629	-7.3600001335
-5.757999897	19.028499603	-1.274999976	3.0000000000	22.6700000763	-7.8899998665
-5.754250050	19.030500412	-1.274749994	2.0000000000	22.6800003052	-7.8800001144
-5.755499840	19.036249161	-1.276999950	2.0000000000	23.0699996948	-7.4899997711
-5.752999783	19.037250519	-1.276749969	0.0000000000	14.1000003815	-12.6499996185
-5.754250050	19.038999557	-1.277500033	3.0000000000	22.7299995422	-7.8299999237
-5.754000187	19.035249710	-1.273000002	2.0000000000	23.2299995422	-7.3299999237
-5.754749775	19.038999557	-1.273749948	2.0000000000	23.0699996948	-7.4899997711
-5.756999969	19.028499603	-1.271499991	1.0000000000	23.2700004578	-7.2899999619
-5.756499767	19.031499863	-1.271499991	4.0000000000	23.3700008392	-7.1900000572
-5.756999969	19.024999619	-1.266000032	2.0000000000	23.7700004578	-6.7899999619
-5.755499840	19.027500153	-1.267750025	2.0000000000	23.8600006104	-6.6999998093
-5.757750034	19.028249741	-1.264250040	3.0000000000	23.2700004578	-7.2899999619
-5.756000042	19.031499863	-1.267750025	2.0000000000	23.8999996185	-6.6599998474
-5.754000187	19.035249710	-1.269500017	2.0000000000	23.2099990845	-7.3499999046
-5.753749847	19.038499832	-1.270499945	0.0000000000	13.5500001907	-13.1999998093
-5.754000187	19.038749695	-1.270499945	6.0000000000	22.9599990845	-7.5999999046
-5.756249905	19.036249161	-1.266000032	2.0000000000	22.7199993134	-7.8400001526
-5.755249977	19.039249420	-1.266749978	4.0000000000	22.6499996185	-7.9099998474
-5.757999897	19.009500504	-1.262750030	2.0000000000	24.1599998474	-6.4000000954
-5.756000042	19.012750626	-1.261000037	0.0000000000	25.1599998474	-5.4000000954
-5.756499767	19.008499146	-1.258249998	2.0000000000	24.0699996948	-6.4899997711
-5.757500172	19.013500214	-1.257500052	0.0000000000	24.4599990845	-6.0999999046
-5.757249832	19.016750336	-1.262249947	3.0000000000	25.0499992371	-5.5100002289
-5.755750179	19.019750595	-1.263499975	2.0000000000	23.9300003052	-6.6300001144
-5.756000042	19.016000748	-1.258000016	1.0000000000	24.0699996948	-6.4899997711
-5.756249905	19.020000458	-1.259750009	1.0000000000	23.1299991608	-7.4299998283
-5.757500172	19.020500183	-1.256500006	3.0000000000	23.1700000763	-7.3899998665
-5.756999969	19.008750916	-1.254750013	5.0000000000	24.4200000763	-6.1399998665
-5.756499767	19.013000488	-1.253499985	1.0000000000	23.7600002289	-6.8000001907
-5.755499840	19.012500763	-1.249500036	2.0000000000	23.9200000763	-6.6399998665
-5.758500099	19.017250061	-1.254999995	3.0000000000	23.3799991608	-7.1799998283
-5.757249832	19.020500183	-1.253000021	4.0000000000	22.6900005341	-7.8699998856
-5.758749962	19.017250061	-1.251749992	1.0000000000	23.1399993896	-7.4200000763
-5.756499767	19.020250320	-1.249500036	4.0000000000	23.5400009155	-7.0199999809
-5.755750179	19.024250031	-1.262249947	1.0000000000	22.9099998474	-7.6500000954
-5.755000114	19.031000137	-1.264000058	4.0000000000	22.7000007629	-7.8600001335
-5.753250122	19.030250549	-1.260249972	1.0000000000	22.5499992371	-8.0100002289
-5.757999897	19.025249481	-1.259250045	1.0000000000	23.1499996185	-7.4099998474
-5.756249905	19.027750015	-1.256749988	1.0000000000	23.1700000763	-7.3899998665
-5.756000042	19.024499893	-1.259750009	1.0000000000	18.5000000000	-8.2500000000
-5.755499840	19.027500153	-1.259999990	2.0000000000	22.7299995422	-7.8299999237
-5.755499840	19.031250000	-1.256749988	1.0000000000	22.7700004578	-7.7899999619
-5.756999969	19.036500931	-1.262750030	2.0000000000	22.2600002289	-8.3000001907
-5.752999783	19.035999298	-1.263499975	2.0000000000	14.1300001144	-12.6199998856
-5.756249905	19.039749146	-1.259750009	2.0000000000	22.3600006104	-8.1999998093
-5.755750179	19.036249161	-1.258999944	1.0000000000	22.4899997711	-8.0699996948
-5.757999897	19.025249481	-1.255249977	4.0000000000	23.6399993896	-6.9200000763
-5.757999897	19.028749466	-1.253749967	3.0000000000	23.5599994659	-7.0000000000
-5.757249832	19.027999878	-1.253250003	2.0000000000	17.3400001526	-9.4099998474
-5.755499840	19.031250000	-1.253250003	2.0000000000	22.9500007629	-7.6100001335
-5.756249905	19.024499893	-1.251000047	0.0000000000	22.9300003052	-7.6300001144
-5.758500099	19.025249481	-1.248250008	3.0000000000	23.2399997711	-7.3200001717
-5.756249905	19.031499863	-1.249750018	4.0000000000	23.5799999237	-6.9800000191
-5.756499767	19.036500931	-1.254999995	2.0000000000	22.4699993134	-8.0900001526
-5.756000042	19.035999298	-1.251500010	3.0000000000	22.1200008392	-8.4399995804
-5.758250237	19.044500351	-1.277500033	2.0000000000	22.6700000763	-7.8800001144
-5.759250164	19.044750214	-1.273499966	2.0000000000	23.5000000000	-7.0500001907
-5.759500027	19.049749374	-1.279749990	2.0000000000	22.8500003815	-7.6999998093
-5.760000229	19.049999237	-1.273000002	1.0000000000	22.6499996185	-7.9000000954
-5.758999825	19.045000076	-1.269999981	1.0000000000	22.8199996948	-7.7300000191
-5.758999825	19.045000076	-1.266749978	5.0000000000	23.2299995422	-7.3200001717
-5.757750034	19.040500641	-1.263499975	1.0000000000	22.5900001526	-7.9600000381
-5.758999825	19.044750214	-1.263000011	2.0000000000	23.2700004578	-7.2800002098
-5.759749889	19.045249939	-1.259250045	3.0000000000	23.1000003815	-7.4499998093
