//X	Y	Z	Deviation[]	Amplitude[dB]	Reflectance[dB]
-5.880499840	18.943250656	-1.303750038	0.0000000000	20.3400001526	-6.4200000763
-5.885250092	18.943000793	-1.298249960	2.0000000000	19.7999992371	-6.2699999809
-5.873000145	18.943250656	-1.302999973	2.0000000000	22.7000007629	-7.8200001717
-5.872250080	18.942750931	-1.300500035	1.0000000000	14.1199998856	-6.5900001526
-5.876749992	18.943750381	-1.297999978	2.0000000000	20.4500007629	-5.6199998856
-5.873250008	18.943500519	-1.299499989	5.0000000000	23.3999996185	-7.1199998856
-5.868750095	18.940999985	-1.308750033	1.0000000000	20.9699993134	-5.0999999046
-5.872000217	18.942499161	-1.307999969	6.0000000000	18.0000000000	-5.7500000000
-5.870999813	18.942499161	-1.306499958	6.0000000000	23.3999996185	-7.1199998856
-5.866749763	18.941749573	-1.307000041	1.0000000000	21.3299999237	-5.4299998283
-5.861249924	18.940999985	-1.309999943	1.0000000000	21.4699993134	-4.5999999046
-5.857250214	18.943000793	-1.310250044	1.0000000000	17.8999996185	-5.8400001526
-5.858250141	18.941999435	-1.305750012	1.0000000000	21.6700000763	-5.0900001526
-5.868249893	18.940999985	-1.300250053	1.0000000000	20.5200004578	-5.5500001907
-5.867000103	18.941999435	-1.300500035	3.0000000000	21.4500007629	-5.3099999428
-5.861249924	18.940999985	-1.302999973	1.0000000000	20.9799995422	-5.0900001526
-5.860249996	18.940999985	-1.300750017	2.0000000000	18.5499992371	-5.1900000572
-5.858500004	18.941499710	-1.299000025	2.0000000000	21.1800003052	-5.5799999237
-5.884500027	18.942499161	-1.283249974	1.0000000000	20.0400009155	-6.0300002098
-5.874750137	18.943000793	-1.287750006	2.0000000000	22.1200008392	-4.6399998665
-5.877250195	18.941249847	-1.282250047	1.0000000000	21.1800003052	-4.8899998665
-5.874000072	18.941999435	-1.284000039	3.0000000000	19.0499992371	-4.6999998093
-5.874750137	18.942499161	-1.281499982	1.0000000000	21.8400001526	-4.9200000763
-5.871500015	18.942750931	-1.295500040	4.0000000000	22.4899997711	-8.0299997330
-5.871500015	18.943750381	-1.294999957	6.0000000000	18.5699996948	-5.1799998283
-5.867249966	18.942249298	-1.294499993	4.0000000000	21.9300003052	-4.8299999237
-5.868750095	18.939250946	-1.292000055	3.0000000000	21.7199993134	-4.3499999046
-5.870500088	18.942249298	-1.292000055	4.0000000000	23.0100002289	-7.5100002289
-5.871500015	18.942499161	-1.288249969	3.0000000000	23.8199996948	-6.6999998093
-5.862249851	18.937749863	-1.295500040	1.0000000000	20.6599998474	-5.4099998474
-5.862500191	18.939750671	-1.289999962	1.0000000000	19.3700008392	-4.3699998856
-5.858500004	18.940750122	-1.291249990	1.0000000000	20.9799995422	-5.7800002098
-5.870999813	18.942499161	-1.284500003	4.0000000000	23.5000000000	-7.0199999809
-5.870999813	18.942750931	-1.284500003	0.0000000000	14.5200004578	-6.1900000572
-5.868000031	18.943750381	-1.287250042	3.0000000000	22.6700000763	-4.0900001526
-5.867249966	18.941749573	-1.285249949	1.0000000000	22.4200000763	-3.6500000954
-5.868750095	18.941499710	-1.280750036	6.0000000000	23.0699996948	-7.4600000381
-5.862500191	18.937000275	-1.287999988	2.0000000000	21.7999992371	-4.2699999809
-5.858749866	18.941499710	-1.284999967	3.0000000000	22.1700000763	-4.5900001526
-5.846250057	18.935749054	-1.311249971	1.0000000000	20.2000007629	-5.8699998856
